timestamp,price
6/6/2023 16:00:00,181.56
6/7/2023 16:00:00,180.11
6/8/2023 16:00:00,182.1
6/9/2023 16:00:00,182.35
6/12/2023 16:00:00,181.9
6/13/2023 16:00:00,181.54
6/14/2023 16:00:00,183.17
6/15/2023 16:00:00,185.71
6/16/2023 16:00:00,186.04
6/20/2023 16:00:00,185.31
6/21/2023 16:00:00,185.43
6/22/2023 16:00:00,187.35
6/23/2023 16:00:00,186.07
6/26/2023 16:00:00,184.89
6/27/2023 16:00:00,186.22
6/28/2023 16:00:00,183.7
6/29/2023 16:00:00,183.88
6/30/2023 16:00:00,185.22
7/3/2023 13:05:00,185.6
7/5/2023 16:00:00,186.58
7/6/2023 16:00:00,186.6
7/7/2023 16:00:00,183.08
7/10/2023 16:00:00,184.3
7/11/2023 16:00:00,183.98
7/12/2023 16:00:00,183.17
7/13/2023 16:00:00,187.53
7/14/2023 16:00:00,188.21
7/17/2023 16:00:00,185.63
7/18/2023 16:00:00,184.45
7/19/2023 16:00:00,186.26
7/20/2023 16:00:00,189.3
7/21/2023 16:00:00,190.16
7/24/2023 16:00:00,190.92
7/25/2023 16:00:00,191.36
7/26/2023 16:00:00,191.6
7/27/2023 16:00:00,188.53
7/28/2023 16:00:00,190.31
7/31/2023 16:00:00,187.46
8/1/2023 16:00:00,186.82
8/2/2023 16:00:00,188.31
8/3/2023 16:00:00,187.12
8/4/2023 16:00:00,184.6
8/7/2023 16:00:00,186.89
8/8/2023 16:00:00,184.44
8/9/2023 16:00:00,183.98
8/10/2023 16:00:00,183.75
8/11/2023 16:00:00,184.04
8/14/2023 16:00:00,183.62
8/15/2023 16:00:00,181.35
8/16/2023 16:00:00,181.21
8/17/2023 16:00:00,178.45
8/18/2023 16:00:00,178.18
8/21/2023 16:00:00,177.05
8/22/2023 16:00:00,175.7
8/23/2023 16:00:00,178.12
8/24/2023 16:00:00,177.18
8/25/2023 16:00:00,179.42
8/28/2023 16:00:00,180.25
8/29/2023 16:00:00,180.93
8/30/2023 16:00:00,181.08
8/31/2023 16:00:00,177.92
9/1/2023 16:00:00,175.32
9/5/2023 16:00:00,174.16
9/6/2023 16:00:00,174.73
9/7/2023 16:00:00,176.4
9/8/2023 16:00:00,176.27
9/11/2023 16:00:00,178.93
9/12/2023 16:00:00,178.27
9/13/2023 16:00:00,179.68
9/14/2023 16:00:00,181.23
9/15/2023 16:00:00,179.84
9/18/2023 16:00:00,179.38
9/19/2023 16:00:00,178.32
9/20/2023 16:00:00,178.38
9/21/2023 16:00:00,175.38
9/22/2023 16:00:00,175.27
9/25/2023 16:00:00,174.33
9/26/2023 16:00:00,172.52
9/27/2023 16:00:00,169.57
9/28/2023 16:00:00,169.5
9/29/2023 16:00:00,169.44
10/2/2023 16:00:00,169.17
10/3/2023 16:00:00,167.7
10/4/2023 16:00:00,168.91
10/5/2023 16:00:00,160.1
10/6/2023 16:00:00,160.29
10/9/2023 16:00:00,161.36
10/10/2023 16:00:00,164.4
10/11/2023 16:00:00,162.62
10/12/2023 16:00:00,158.08
10/13/2023 16:00:00,160
10/16/2023 16:00:00,161.08
10/17/2023 16:00:00,160.37
10/18/2023 16:00:00,162.03
10/19/2023 16:00:00,160.56
10/20/2023 16:00:00,160
10/23/2023 16:00:00,160.08
10/24/2023 16:00:00,162.19
10/25/2023 16:00:00,162.35
10/26/2023 16:00:00,161.41
10/27/2023 16:00:00,159.62
10/30/2023 16:00:00,162.28
10/31/2023 16:00:00,163.28
11/1/2023 16:00:00,164.87
11/2/2023 16:00:00,166.83
11/3/2023 16:00:00,166.79
11/6/2023 16:00:00,166.7
11/7/2023 16:00:00,167.18
11/8/2023 16:00:00,167.39
11/9/2023 16:00:00,166.16
11/10/2023 16:00:00,166.92
11/13/2023 16:00:00,167.77
11/14/2023 16:00:00,168.11
11/15/2023 16:00:00,167.25
11/16/2023 16:00:00,167.71
11/17/2023 16:00:00,166.76
11/20/2023 16:00:00,166.52
11/21/2023 16:00:00,167.8
11/22/2023 16:00:00,169.22
11/24/2023 13:05:00,169.37
11/27/2023 16:00:00,168.32
11/28/2023 16:00:00,168.86
11/29/2023 16:00:00,167.16
11/30/2023 16:00:00,168.29
12/1/2023 16:00:00,168.69
12/4/2023 16:00:00,169.14
12/5/2023 16:00:00,167.94
12/6/2023 16:00:00,167.51
12/7/2023 16:00:00,167.46
12/8/2023 16:00:00,165.68
12/11/2023 16:00:00,167.82
12/12/2023 16:00:00,168.47
12/13/2023 16:00:00,172.01
12/14/2023 16:00:00,168.25
12/15/2023 16:00:00,167
12/18/2023 16:00:00,168.91
12/19/2023 16:00:00,167.95
12/20/2023 16:00:00,165.69
12/21/2023 16:00:00,166.97
12/22/2023 16:00:00,167.68
12/26/2023 16:00:00,168.86
12/27/2023 16:00:00,169.4
12/28/2023 16:00:00,169.39
12/29/2023 16:00:00,169.84
1/2/2024 16:00:00,172.91
1/3/2024 16:00:00,172.95
1/4/2024 16:00:00,171.47
1/5/2024 16:00:00,168.94
1/8/2024 16:00:00,169.11
1/9/2024 16:00:00,167.17
1/10/2024 16:00:00,166.92
1/11/2024 16:00:00,166.13
1/12/2024 16:00:00,167.27
1/16/2024 16:00:00,166.17
1/17/2024 16:00:00,166.44
1/18/2024 16:00:00,167.17
1/19/2024 16:00:00,165.78
1/22/2024 16:00:00,165.11
1/23/2024 16:00:00,167.64
1/24/2024 16:00:00,165.6
1/25/2024 16:00:00,166.56
1/26/2024 16:00:00,167.86
1/29/2024 16:00:00,168.15
1/30/2024 16:00:00,169.62
1/31/2024 16:00:00,168.53
2/1/2024 16:00:00,171.7
2/2/2024 16:00:00,170.97
2/5/2024 16:00:00,170.92
2/6/2024 16:00:00,171.42
2/7/2024 16:00:00,171.47
2/8/2024 16:00:00,173.85
2/9/2024 16:00:00,167.67
2/12/2024 16:00:00,170.61
2/13/2024 16:00:00,168.88
2/14/2024 16:00:00,167.52
2/15/2024 16:00:00,167.86
2/16/2024 16:00:00,166.32
2/20/2024 16:00:00,168.65
2/21/2024 16:00:00,168.83
2/22/2024 16:00:00,168.25
2/23/2024 16:00:00,169.6
2/26/2024 16:00:00,168.26
2/27/2024 16:00:00,168.16
2/28/2024 16:00:00,167.03
2/29/2024 16:00:00,165.34
3/1/2024 16:00:00,164.59
3/4/2024 16:00:00,165.37
3/5/2024 16:00:00,162.04
3/6/2024 16:00:00,163
3/7/2024 16:00:00,163.11
3/8/2024 16:00:00,163.05
3/11/2024 16:00:00,164.73
3/12/2024 16:00:00,164.54
3/13/2024 16:00:00,165.3
3/14/2024 16:00:00,164.78
3/15/2024 16:00:00,164.66
3/18/2024 16:00:00,171.26
3/19/2024 16:00:00,171.8
3/20/2024 16:00:00,171.86
3/21/2024 16:00:00,172.45
3/22/2024 16:00:00,172.02
3/25/2024 16:00:00,172.6
3/26/2024 16:00:00,172.73
3/27/2024 16:00:00,173.57
3/28/2024 16:00:00,175.01
4/1/2024 16:00:00,172.98
4/2/2024 16:00:00,171.44
4/3/2024 16:00:00,169.68
4/4/2024 16:00:00,169.65
4/5/2024 16:00:00,169.14
4/8/2024 16:00:00,169.58
4/9/2024 16:00:00,170.61
4/10/2024 16:00:00,168.95
4/11/2024 16:00:00,168.36
4/12/2024 16:00:00,168.1
4/15/2024 16:00:00,166.95
4/16/2024 16:00:00,167.5
4/17/2024 16:00:00,169.48
4/18/2024 16:00:00,172.27
4/19/2024 16:00:00,174.13
4/22/2024 16:00:00,176.46
4/23/2024 16:00:00,171.22
4/24/2024 16:00:00,177.41
4/25/2024 16:00:00,176.68
4/26/2024 16:00:00,175.58
4/29/2024 16:00:00,176.14
4/30/2024 16:00:00,175.91
5/1/2024 16:00:00,175.15
5/2/2024 16:00:00,175.45
5/3/2024 16:00:00,176.15
5/6/2024 16:00:00,175.82
5/7/2024 16:00:00,178.02
5/8/2024 16:00:00,177.41
5/9/2024 16:00:00,178.06
5/10/2024 16:00:00,179.79
5/13/2024 16:00:00,180.9
5/14/2024 16:00:00,179.87
5/15/2024 16:00:00,179.46
5/16/2024 16:00:00,183.11
5/17/2024 16:00:00,182.19
5/20/2024 16:00:00,180.31
5/21/2024 16:00:00,181.08
5/22/2024 16:00:00,182.09
5/23/2024 16:00:00,179.27
5/24/2024 16:00:00,177.99
5/28/2024 16:00:00,173.38
5/29/2024 16:00:00,171.15
5/30/2024 16:00:00,170.48
5/31/2024 16:00:00,172.9
6/3/2024 16:00:00,171.23
6/4/2024 16:00:00,173.89
6/5/2024 16:00:00,173.49
6/6/2024 16:00:00,173.2
6/7/2024 16:00:00,171.04
6/10/2024 16:00:00,165.9
6/11/2024 16:00:00,165.07
6/12/2024 16:00:00,163.83
6/13/2024 16:00:00,163.33
6/14/2024 16:00:00,163.81
6/17/2024 16:00:00,166.14
6/18/2024 16:00:00,166.48
6/20/2024 16:00:00,166.68
6/21/2024 16:00:00,167.28
6/24/2024 16:00:00,168.08
6/25/2024 16:00:00,167.35
6/26/2024 16:00:00,166.74
6/27/2024 16:00:00,166.26
6/28/2024 16:00:00,164.93
7/1/2024 16:00:00,162.89
7/2/2024 16:00:00,163.58
7/3/2024 13:05:00,162.6
7/5/2024 16:00:00,164.39
7/8/2024 16:00:00,162.12
7/9/2024 16:00:00,161.9
7/10/2024 16:00:00,163.59
7/11/2024 16:00:00,163.95
7/12/2024 16:00:00,166.38
7/15/2024 16:00:00,163.86
7/16/2024 16:00:00,164.76
7/17/2024 16:00:00,169.89
7/18/2024 16:00:00,170.37
7/19/2024 16:00:00,169.36
7/22/2024 16:00:00,167.66
7/23/2024 16:00:00,166.28
7/24/2024 16:00:00,168.17
7/25/2024 16:00:00,171.02
7/26/2024 16:00:00,172.75
7/29/2024 16:00:00,173.21
7/30/2024 16:00:00,173.18
7/31/2024 16:00:00,172.67
8/1/2024 16:00:00,174.96
8/2/2024 16:00:00,178.04
8/5/2024 16:00:00,174.04
8/6/2024 16:00:00,172.49
8/7/2024 16:00:00,171.79
8/8/2024 16:00:00,172.37
8/9/2024 16:00:00,172.39
8/12/2024 16:00:00,171.42
8/13/2024 16:00:00,172.37
8/14/2024 16:00:00,173.71
8/15/2024 16:00:00,172.52
8/16/2024 16:00:00,172.62
8/19/2024 16:00:00,173.82
8/20/2024 16:00:00,175.85
8/21/2024 16:00:00,175.21
8/22/2024 16:00:00,175.74
8/23/2024 16:00:00,175.87
8/26/2024 16:00:00,175.97
8/27/2024 16:00:00,175.3
8/28/2024 16:00:00,173.92
8/29/2024 16:00:00,172.09
8/30/2024 16:00:00,172.88
9/3/2024 16:00:00,177.54
9/4/2024 16:00:00,178.52
9/5/2024 16:00:00,179.3
9/6/2024 16:00:00,177.34
9/9/2024 16:00:00,178.19
9/10/2024 16:00:00,177.81
9/11/2024 16:00:00,175.78
9/12/2024 16:00:00,177.25
9/13/2024 16:00:00,177.36
9/16/2024 16:00:00,177.21
9/17/2024 16:00:00,176.87
9/18/2024 16:00:00,175.21
9/19/2024 16:00:00,174.66
9/20/2024 16:00:00,171.18
9/23/2024 16:00:00,172.11
9/24/2024 16:00:00,169.92
9/25/2024 16:00:00,169.4
9/26/2024 16:00:00,169.69
9/27/2024 16:00:00,170
9/30/2024 16:00:00,170.05
10/1/2024 16:00:00,171.38
10/2/2024 16:00:00,169.55
10/3/2024 16:00:00,168.53
10/4/2024 16:00:00,167.97
10/7/2024 16:00:00,167.21
10/8/2024 16:00:00,170.42
10/9/2024 16:00:00,172.54
10/10/2024 16:00:00,172.99
10/11/2024 16:00:00,174.81
10/14/2024 16:00:00,176.1
10/15/2024 16:00:00,175.9
10/16/2024 16:00:00,174.48
10/17/2024 16:00:00,174.67
10/18/2024 16:00:00,175.06
10/21/2024 16:00:00,175.01
10/22/2024 16:00:00,174.37
10/23/2024 16:00:00,172.95
10/24/2024 16:00:00,172.16
10/25/2024 16:00:00,171.79
10/28/2024 16:00:00,169.84
10/29/2024 16:00:00,167.5
10/30/2024 16:00:00,166.21
10/31/2024 16:00:00,166.08
11/1/2024 16:00:00,165.59
11/4/2024 16:00:00,166.34
11/5/2024 16:00:00,167.85
11/6/2024 16:00:00,164.71
11/7/2024 16:00:00,164
11/8/2024 16:00:00,165.11
11/11/2024 16:00:00,164.26
11/12/2024 16:00:00,164.34
11/13/2024 16:00:00,164.74
11/14/2024 16:00:00,165.15
11/15/2024 16:00:00,158.62
11/18/2024 16:00:00,158.33
11/19/2024 16:00:00,156.72
11/20/2024 16:00:00,158.74
11/21/2024 16:00:00,160.34
11/22/2024 16:00:00,162
11/25/2024 16:00:00,163.05
11/26/2024 16:00:00,162.16
11/27/2024 16:00:00,162.72
11/29/2024 13:05:00,163.45
12/2/2024 16:00:00,163.05
12/3/2024 16:00:00,161.7
12/4/2024 16:00:00,160.18
12/5/2024 16:00:00,160.49
12/6/2024 16:00:00,157.79
12/9/2024 16:00:00,159.47
12/10/2024 16:00:00,159.84
12/11/2024 16:00:00,156.77
12/12/2024 16:00:00,158.9
12/13/2024 16:00:00,157.97
12/16/2024 16:00:00,156.02
12/17/2024 16:00:00,156.14
12/18/2024 16:00:00,154.43
12/19/2024 16:00:00,151.47
12/20/2024 16:00:00,152.79
12/23/2024 16:00:00,151.29
12/24/2024 13:05:00,152.81
12/26/2024 16:00:00,152.44
12/27/2024 16:00:00,152.89
12/30/2024 16:00:00,151.72
12/31/2024 16:00:00,152.06
